[alignatt] en→zh, 15430문장
  [zh] 25/15430  14s  ETA 146.8m
  [zh] 14150/15430  2994s  ETA 4.5m
  [zh] 14175/15430  2999s  ETA 4.4m
  [zh] 14200/15430  3005s  ETA 4.3m
  [zh] 14225/15430  3010s  ETA 4.2m
  [zh] 14250/15430  3014s  ETA 4.2m
  [zh] 14275/15430  3019s  ETA 4.1m
  [zh] 14300/15430  3024s  ETA 4.0m
  [zh] 14325/15430  3029s  ETA 3.9m
  [zh] 14350/15430  3034s  ETA 3.8m
  [zh] 14375/15430  3039s  ETA 3.7m
  [zh] 14400/15430  3044s  ETA 3.6m
  [zh] 14425/15430  3049s  ETA 3.5m
  [zh] 14450/15430  3054s  ETA 3.5m
  [zh] 14475/15430  3059s  ETA 3.4m
  [zh] 14500/15430  3064s  ETA 3.3m
  [zh] 14525/15430  3069s  ETA 3.2m
  [zh] 14550/15430  3073s  ETA 3.1m
  [zh] 14575/15430  3078s  ETA 3.0m
  [zh] 14600/15430  3083s  ETA 2.9m
  [zh] 14625/15430  3089s  ETA 2.8m
  [zh] 14650/15430  3094s  ETA 2.7m
  [zh] 14675/15430  3099s  ETA 2.7m
  [zh] 14700/15430  3104s  ETA 2.6m
  [zh] 14725/15430  3110s  ETA 2.5m
  [zh] 14750/15430  3115s  ETA 2.4m
  [zh] 14775/15430  3119s  ETA 2.3m
  [zh] 14800/15430  3124s  ETA 2.2m
  [zh] 14825/15430  3129s  ETA 2.1m
  [zh] 14850/15430  3135s  ETA 2.0m
  [zh] 14875/15430  3139s  ETA 2.0m
  [zh] 14900/15430  3144s  ETA 1.9m
  [zh] 14925/15430  3150s  ETA 1.8m
  [zh] 14950/15430  3155s  ETA 1.7m
  [zh] 14975/15430  3160s  ETA 1.6m
  [zh] 15000/15430  3165s  ETA 1.5m
  [zh] 15025/15430  3170s  ETA 1.4m
  [zh] 15050/15430  3175s  ETA 1.3m
  [zh] 15075/15430  3181s  ETA 1.2m
  [zh] 15100/15430  3186s  ETA 1.2m
  [zh] 15125/15430  3191s  ETA 1.1m
  [zh] 15150/15430  3196s  ETA 1.0m
  [zh] 15175/15430  3202s  ETA 0.9m
  [zh] 15200/15430  3207s  ETA 0.8m
  [zh] 15225/15430  3212s  ETA 0.7m
  [zh] 15250/15430  3217s  ETA 0.6m
  [zh] 15275/15430  3221s  ETA 0.5m
  [zh] 15300/15430  3226s  ETA 0.5m
  [zh] 15325/15430  3231s  ETA 0.4m
  [zh] 15350/15430  3236s  ETA 0.3m
  [zh] 15375/15430  3240s  ETA 0.2m
  [zh] 15400/15430  3245s  ETA 0.1m
  [zh] 15425/15430  3250s  ETA 0.0m
  [zh] alignatt: 평균 조각수 4.97, 무분절 문장 627/15430, 3251s
  → /home/mobility/STiTy/core/meaning_segmentator/runs/covost2/full/baselines/alignatt_zh_test.json
