[mu_prefix] en→de, 15430문장
  [de] 25/15430  23s  ETA 232.6m
  [de] 14650/15430  7735s  ETA 6.9m
  [de] 14675/15430  7747s  ETA 6.6m
  [de] 14700/15430  7760s  ETA 6.4m
  [de] 14725/15430  7774s  ETA 6.2m
  [de] 14750/15430  7787s  ETA 6.0m
  [de] 14775/15430  7800s  ETA 5.8m
  [de] 14800/15430  7810s  ETA 5.5m
  [de] 14825/15430  7819s  ETA 5.3m
  [de] 14850/15430  7829s  ETA 5.1m
  [de] 14875/15430  7838s  ETA 4.9m
  [de] 14900/15430  7848s  ETA 4.7m
  [de] 14925/15430  7858s  ETA 4.4m
  [de] 14950/15430  7867s  ETA 4.2m
  [de] 14975/15430  7877s  ETA 4.0m
  [de] 15000/15430  7887s  ETA 3.8m
  [de] 15025/15430  7896s  ETA 3.5m
  [de] 15050/15430  7905s  ETA 3.3m
  [de] 15075/15430  7916s  ETA 3.1m
  [de] 15100/15430  7925s  ETA 2.9m
  [de] 15125/15430  7935s  ETA 2.7m
  [de] 15150/15430  7945s  ETA 2.4m
  [de] 15175/15430  7956s  ETA 2.2m
  [de] 15200/15430  7965s  ETA 2.0m
  [de] 15225/15430  7975s  ETA 1.8m
  [de] 15250/15430  7984s  ETA 1.6m
  [de] 15275/15430  7992s  ETA 1.4m
  [de] 15300/15430  8003s  ETA 1.1m
  [de] 15325/15430  8013s  ETA 0.9m
  [de] 15350/15430  8021s  ETA 0.7m
  [de] 15375/15430  8030s  ETA 0.5m
  [de] 15400/15430  8040s  ETA 0.3m
  [de] 15425/15430  8049s  ETA 0.0m
  [de] mu_prefix: 평균 조각수 3.93, 무분절 문장 2506/15430, 8051s
  → /home/mobility/STiTy/core/meaning_segmentator/runs/covost2/full/baselines/mu_prefix_de_test.json
