[mu_prefix] en→zh, 15430문장
  [zh] 25/15430  22s  ETA 223.4m
  [zh] 14075/15430  7088s  ETA 11.4m
  [zh] 14100/15430  7099s  ETA 11.2m
  [zh] 14125/15430  7112s  ETA 11.0m
  [zh] 14150/15430  7125s  ETA 10.7m
  [zh] 14175/15430  7139s  ETA 10.5m
  [zh] 14200/15430  7153s  ETA 10.3m
  [zh] 14225/15430  7168s  ETA 10.1m
  [zh] 14250/15430  7180s  ETA 9.9m
  [zh] 14275/15430  7193s  ETA 9.7m
  [zh] 14300/15430  7207s  ETA 9.5m
  [zh] 14325/15430  7223s  ETA 9.3m
  [zh] 14350/15430  7235s  ETA 9.1m
  [zh] 14375/15430  7248s  ETA 8.9m
  [zh] 14400/15430  7260s  ETA 8.7m
  [zh] 14425/15430  7273s  ETA 8.4m
  [zh] 14450/15430  7287s  ETA 8.2m
  [zh] 14475/15430  7299s  ETA 8.0m
  [zh] 14500/15430  7311s  ETA 7.8m
  [zh] 14525/15430  7326s  ETA 7.6m
  [zh] 14550/15430  7336s  ETA 7.4m
  [zh] 14575/15430  7348s  ETA 7.2m
  [zh] 14600/15430  7360s  ETA 7.0m
  [zh] 14625/15430  7375s  ETA 6.8m
  [zh] 14650/15430  7388s  ETA 6.6m
  [zh] 14675/15430  7403s  ETA 6.3m
  [zh] 14700/15430  7416s  ETA 6.1m
  [zh] 14725/15430  7430s  ETA 5.9m
  [zh] 14750/15430  7443s  ETA 5.7m
  [zh] 14775/15430  7457s  ETA 5.5m
  [zh] 14800/15430  7470s  ETA 5.3m
  [zh] 14825/15430  7483s  ETA 5.1m
  [zh] 14850/15430  7498s  ETA 4.9m
  [zh] 14875/15430  7509s  ETA 4.7m
  [zh] 14900/15430  7523s  ETA 4.5m
  [zh] 14925/15430  7537s  ETA 4.3m
  [zh] 14950/15430  7549s  ETA 4.0m
  [zh] 14975/15430  7564s  ETA 3.8m
  [zh] 15000/15430  7579s  ETA 3.6m
  [zh] 15025/15430  7592s  ETA 3.4m
  [zh] 15050/15430  7605s  ETA 3.2m
  [zh] 15075/15430  7619s  ETA 3.0m
  [zh] 15100/15430  7633s  ETA 2.8m
  [zh] 15125/15430  7645s  ETA 2.6m
  [zh] 15150/15430  7660s  ETA 2.4m
  [zh] 15175/15430  7674s  ETA 2.1m
  [zh] 15200/15430  7687s  ETA 1.9m
  [zh] 15225/15430  7702s  ETA 1.7m
  [zh] 15250/15430  7713s  ETA 1.5m
  [zh] 15275/15430  7723s  ETA 1.3m
  [zh] 15300/15430  7740s  ETA 1.1m
  [zh] 15325/15430  7752s  ETA 0.9m
  [zh] 15350/15430  7763s  ETA 0.7m
  [zh] 15375/15430  7775s  ETA 0.5m
  [zh] 15400/15430  7787s  ETA 0.3m
  [zh] 15425/15430  7799s  ETA 0.0m
  [zh] mu_prefix: 평균 조각수 3.84, 무분절 문장 3405/15430, 7802s
  → /home/mobility/STiTy/core/meaning_segmentator/runs/covost2/full/baselines/mu_prefix_zh_test.json
