[mu_prefix] en→ja, 15430문장
  [ja] 25/15430  43s  ETA 445.4m
  [ja] 14025/15430  5504s  ETA 9.2m
  [ja] 14050/15430  5512s  ETA 9.0m
  [ja] 14075/15430  5519s  ETA 8.9m
  [ja] 14100/15430  5524s  ETA 8.7m
  [ja] 14125/15430  5533s  ETA 8.5m
  [ja] 14150/15430  5540s  ETA 8.4m
  [ja] 14175/15430  5547s  ETA 8.2m
  [ja] 14200/15430  5555s  ETA 8.0m
  [ja] 14225/15430  5563s  ETA 7.9m
  [ja] 14250/15430  5569s  ETA 7.7m
  [ja] 14275/15430  5576s  ETA 7.5m
  [ja] 14300/15430  5583s  ETA 7.4m
  [ja] 14325/15430  5591s  ETA 7.2m
  [ja] 14350/15430  5598s  ETA 7.0m
  [ja] 14375/15430  5606s  ETA 6.9m
  [ja] 14400/15430  5613s  ETA 6.7m
  [ja] 14425/15430  5620s  ETA 6.5m
  [ja] 14450/15430  5629s  ETA 6.4m
  [ja] 14475/15430  5635s  ETA 6.2m
  [ja] 14500/15430  5642s  ETA 6.0m
  [ja] 14525/15430  5650s  ETA 5.9m
  [ja] 14550/15430  5656s  ETA 5.7m
  [ja] 14575/15430  5663s  ETA 5.5m
  [ja] 14600/15430  5670s  ETA 5.4m
  [ja] 14625/15430  5678s  ETA 5.2m
  [ja] 14650/15430  5685s  ETA 5.0m
  [ja] 14675/15430  5693s  ETA 4.9m
  [ja] 14700/15430  5701s  ETA 4.7m
  [ja] 14725/15430  5708s  ETA 4.6m
  [ja] 14750/15430  5716s  ETA 4.4m
  [ja] 14775/15430  5723s  ETA 4.2m
  [ja] 14800/15430  5731s  ETA 4.1m
  [ja] 14825/15430  5737s  ETA 3.9m
  [ja] 14850/15430  5745s  ETA 3.7m
  [ja] 14875/15430  5752s  ETA 3.6m
  [ja] 14900/15430  5759s  ETA 3.4m
  [ja] 14925/15430  5766s  ETA 3.3m
  [ja] 14950/15430  5773s  ETA 3.1m
  [ja] 14975/15430  5781s  ETA 2.9m
  [ja] 15000/15430  5789s  ETA 2.8m
  [ja] 15025/15430  5795s  ETA 2.6m
  [ja] 15050/15430  5802s  ETA 2.4m
  [ja] 15075/15430  5811s  ETA 2.3m
  [ja] 15100/15430  5818s  ETA 2.1m
  [ja] 15125/15430  5826s  ETA 2.0m
  [ja] 15150/15430  5833s  ETA 1.8m
  [ja] 15175/15430  5841s  ETA 1.6m
  [ja] 15200/15430  5848s  ETA 1.5m
  [ja] 15225/15430  5856s  ETA 1.3m
  [ja] 15250/15430  5863s  ETA 1.2m
  [ja] 15275/15430  5869s  ETA 1.0m
  [ja] 15300/15430  5877s  ETA 0.8m
  [ja] 15325/15430  5885s  ETA 0.7m
  [ja] 15350/15430  5890s  ETA 0.5m
  [ja] 15375/15430  5898s  ETA 0.4m
  [ja] 15400/15430  5904s  ETA 0.2m
  [ja] 15425/15430  5911s  ETA 0.0m
  [ja] mu_prefix: 평균 조각수 2.46, 무분절 문장 7017/15430, 5912s
  → /home/mobility/STiTy/core/meaning_segmentator/runs/covost2/full/baselines/mu_prefix_ja_test.json
