[alignatt] en→ja, 15430문장
  [ja] 25/15430  14s  ETA 144.5m
  [ja] 950/15430  175s  ETA 44.4m
  [ja] 975/15430  179s  ETA 44.1m
  [ja] 1000/15430  182s  ETA 43.8m
  [ja] 1025/15430  187s  ETA 43.9m
  [ja] 1050/15430  191s  ETA 43.6m
  [ja] 1075/15430  195s  ETA 43.3m
  [ja] 1100/15430  199s  ETA 43.2m
  [ja] 1125/15430  204s  ETA 43.2m
  [ja] 1150/15430  208s  ETA 43.0m
  [ja] 1175/15430  212s  ETA 43.0m
  [ja] 1200/15430  216s  ETA 42.8m
  [ja] 1225/15430  220s  ETA 42.5m
  [ja] 1250/15430  225s  ETA 42.5m
  [ja] 1275/15430  229s  ETA 42.4m
  [ja] 1300/15430  234s  ETA 42.4m
  [ja] 1325/15430  239s  ETA 42.3m
  [ja] 1350/15430  242s  ETA 42.1m
  [ja] 1375/15430  247s  ETA 42.0m
  [ja] 1400/15430  251s  ETA 41.9m
  [ja] 1425/15430  255s  ETA 41.8m
  [ja] 1450/15430  260s  ETA 41.7m
  [ja] 1475/15430  264s  ETA 41.6m
  [ja] 1500/15430  268s  ETA 41.5m
  [ja] 1525/15430  273s  ETA 41.5m
  [ja] 1550/15430  277s  ETA 41.3m
  [ja] 1575/15430  282s  ETA 41.3m
  [ja] 1600/15430  285s  ETA 41.1m
  [ja] 1625/15430  289s  ETA 41.0m
  [ja] 1650/15430  294s  ETA 40.9m
  [ja] 1675/15430  298s  ETA 40.8m
  [ja] 1700/15430  303s  ETA 40.8m
  [ja] 1725/15430  307s  ETA 40.7m
  [ja] 1750/15430  311s  ETA 40.6m
  [ja] 1775/15430  315s  ETA 40.4m
  [ja] 1800/15430  319s  ETA 40.3m
  [ja] 1825/15430  324s  ETA 40.3m
  [ja] 1850/15430  329s  ETA 40.2m
  [ja] 1875/15430  333s  ETA 40.1m
  [ja] 1900/15430  337s  ETA 40.0m
  [ja] 1925/15430  342s  ETA 40.0m
  [ja] 1950/15430  346s  ETA 39.9m
  [ja] 1975/15430  350s  ETA 39.8m
  [ja] 2000/15430  355s  ETA 39.7m
  [ja] 2025/15430  359s  ETA 39.6m
  [ja] 2050/15430  363s  ETA 39.5m
  [ja] 2075/15430  367s  ETA 39.4m
  [ja] 2100/15430  372s  ETA 39.4m
  [ja] 2125/15430  377s  ETA 39.3m
  [ja] 2150/15430  380s  ETA 39.1m
  [ja] 2175/15430  384s  ETA 39.0m
  [ja] 2200/15430  388s  ETA 38.9m
  [ja] 2225/15430  392s  ETA 38.8m
  [ja] 2250/15430  396s  ETA 38.6m
  [ja] 2275/15430  400s  ETA 38.6m
  [ja] 2300/15430  405s  ETA 38.5m
  [ja] 2325/15430  409s  ETA 38.4m
  [ja] 2350/15430  414s  ETA 38.4m
  [ja] 2375/15430  418s  ETA 38.3m
  [ja] 2400/15430  422s  ETA 38.2m
  [ja] 2425/15430  426s  ETA 38.1m
  [ja] 2450/15430  430s  ETA 38.0m
  [ja] 2475/15430  434s  ETA 37.9m
  [ja] 2500/15430  439s  ETA 37.9m
  [ja] 2525/15430  444s  ETA 37.9m
  [ja] 2550/15430  448s  ETA 37.7m
  [ja] 2575/15430  453s  ETA 37.7m
  [ja] 2600/15430  456s  ETA 37.5m
  [ja] 2625/15430  460s  ETA 37.4m
  [ja] 2650/15430  465s  ETA 37.4m
  [ja] 2675/15430  470s  ETA 37.4m
  [ja] 2700/15430  474s  ETA 37.3m
  [ja] 2725/15430  479s  ETA 37.2m
  [ja] 2750/15430  483s  ETA 37.1m
  [ja] 2775/15430  488s  ETA 37.1m
  [ja] 2800/15430  492s  ETA 37.0m
  [ja] 2825/15430  497s  ETA 37.0m
  [ja] 2850/15430  503s  ETA 37.0m
  [ja] 2875/15430  507s  ETA 36.9m
  [ja] 2900/15430  511s  ETA 36.8m
  [ja] 2925/15430  516s  ETA 36.8m
  [ja] 2950/15430  521s  ETA 36.7m
  [ja] 2975/15430  525s  ETA 36.7m
  [ja] 3000/15430  530s  ETA 36.6m
  [ja] 3025/15430  534s  ETA 36.5m
  [ja] 3050/15430  538s  ETA 36.4m
  [ja] 3075/15430  542s  ETA 36.3m
  [ja] 3100/15430  547s  ETA 36.2m
  [ja] 3125/15430  551s  ETA 36.2m
  [ja] 3150/15430  555s  ETA 36.1m
  [ja] 3175/15430  560s  ETA 36.0m
  [ja] 3200/15430  565s  ETA 36.0m
  [ja] 3225/15430  570s  ETA 35.9m
  [ja] 3250/15430  575s  ETA 35.9m
  [ja] 3275/15430  578s  ETA 35.8m
  [ja] 3300/15430  582s  ETA 35.7m
  [ja] 3325/15430  587s  ETA 35.6m
  [ja] 3350/15430  591s  ETA 35.5m
  [ja] 3375/15430  596s  ETA 35.5m
  [ja] 3400/15430  600s  ETA 35.4m
  [ja] 3425/15430  604s  ETA 35.3m
  [ja] 3450/15430  609s  ETA 35.2m
  [ja] 3475/15430  613s  ETA 35.2m
  [ja] 3500/15430  619s  ETA 35.1m
  [ja] 3525/15430  623s  ETA 35.0m
  [ja] 3550/15430  627s  ETA 35.0m
  [ja] 3575/15430  632s  ETA 34.9m
  [ja] 3600/15430  637s  ETA 34.9m
  [ja] 3625/15430  641s  ETA 34.8m
  [ja] 3650/15430  646s  ETA 34.7m
  [ja] 3675/15430  651s  ETA 34.7m
  [ja] 3700/15430  654s  ETA 34.6m
  [ja] 3725/15430  658s  ETA 34.5m
  [ja] 3750/15430  664s  ETA 34.5m
  [ja] 3775/15430  668s  ETA 34.4m
  [ja] 3800/15430  671s  ETA 34.2m
  [ja] 3825/15430  675s  ETA 34.1m
  [ja] 3850/15430  680s  ETA 34.1m
  [ja] 3875/15430  684s  ETA 34.0m
  [ja] 3900/15430  689s  ETA 33.9m
  [ja] 3925/15430  694s  ETA 33.9m
  [ja] 3950/15430  698s  ETA 33.8m
  [ja] 3975/15430  703s  ETA 33.7m
  [ja] 4000/15430  708s  ETA 33.7m
  [ja] 4025/15430  712s  ETA 33.6m
  [ja] 4050/15430  717s  ETA 33.6m
  [ja] 4075/15430  721s  ETA 33.5m
  [ja] 4100/15430  725s  ETA 33.4m
  [ja] 4125/15430  729s  ETA 33.3m
  [ja] 4150/15430  734s  ETA 33.2m
  [ja] 4175/15430  739s  ETA 33.2m
  [ja] 4200/15430  742s  ETA 33.1m
  [ja] 4225/15430  746s  ETA 33.0m
  [ja] 4250/15430  750s  ETA 32.9m
  [ja] 4275/15430  755s  ETA 32.8m
  [ja] 4300/15430  759s  ETA 32.8m
  [ja] 4325/15430  764s  ETA 32.7m
  [ja] 4350/15430  770s  ETA 32.7m
  [ja] 4375/15430  774s  ETA 32.6m
  [ja] 4400/15430  778s  ETA 32.5m
  [ja] 4425/15430  782s  ETA 32.4m
  [ja] 4450/15430  788s  ETA 32.4m
  [ja] 4475/15430  792s  ETA 32.3m
  [ja] 4500/15430  797s  ETA 32.2m
  [ja] 4525/15430  800s  ETA 32.1m
  [ja] 4550/15430  806s  ETA 32.1m
  [ja] 4575/15430  810s  ETA 32.0m
  [ja] 4600/15430  815s  ETA 32.0m
  [ja] 4625/15430  819s  ETA 31.9m
  [ja] 4650/15430  824s  ETA 31.8m
  [ja] 4675/15430  828s  ETA 31.8m
  [ja] 4700/15430  834s  ETA 31.7m
  [ja] 4725/15430  838s  ETA 31.6m
  [ja] 4750/15430  842s  ETA 31.6m
  [ja] 4775/15430  847s  ETA 31.5m
  [ja] 4800/15430  850s  ETA 31.4m
  [ja] 4825/15430  855s  ETA 31.3m
  [ja] 4850/15430  859s  ETA 31.2m
  [ja] 4875/15430  863s  ETA 31.2m
  [ja] 4900/15430  867s  ETA 31.1m
  [ja] 4925/15430  871s  ETA 31.0m
  [ja] 4950/15430  876s  ETA 30.9m
  [ja] 4975/15430  880s  ETA 30.8m
  [ja] 5000/15430  884s  ETA 30.7m
  [ja] 5025/15430  888s  ETA 30.6m
  [ja] 5050/15430  892s  ETA 30.6m
  [ja] 5075/15430  896s  ETA 30.5m
  [ja] 5100/15430  902s  ETA 30.4m
  [ja] 5125/15430  906s  ETA 30.4m
  [ja] 5150/15430  911s  ETA 30.3m
  [ja] 5175/15430  915s  ETA 30.2m
  [ja] 5200/15430  919s  ETA 30.1m
  [ja] 5225/15430  923s  ETA 30.1m
  [ja] 5250/15430  928s  ETA 30.0m
  [ja] 5275/15430  933s  ETA 29.9m
  [ja] 5300/15430  938s  ETA 29.9m
  [ja] 5325/15430  943s  ETA 29.8m
  [ja] 5350/15430  947s  ETA 29.7m
  [ja] 5375/15430  951s  ETA 29.7m
  [ja] 5400/15430  955s  ETA 29.6m
  [ja] 5425/15430  960s  ETA 29.5m
  [ja] 5450/15430  964s  ETA 29.4m
  [ja] 5475/15430  969s  ETA 29.4m
  [ja] 5500/15430  973s  ETA 29.3m
  [ja] 5525/15430  978s  ETA 29.2m
  [ja] 5550/15430  983s  ETA 29.2m
  [ja] 5575/15430  988s  ETA 29.1m
  [ja] 5600/15430  992s  ETA 29.0m
  [ja] 5625/15430  997s  ETA 29.0m
  [ja] 5650/15430  1001s  ETA 28.9m
  [ja] 5675/15430  1005s  ETA 28.8m
  [ja] 5700/15430  1011s  ETA 28.8m
  [ja] 5725/15430  1014s  ETA 28.7m
  [ja] 5750/15430  1019s  ETA 28.6m
  [ja] 5775/15430  1024s  ETA 28.5m
  [ja] 5800/15430  1028s  ETA 28.5m
  [ja] 5825/15430  1033s  ETA 28.4m
  [ja] 5850/15430  1037s  ETA 28.3m
  [ja] 5875/15430  1040s  ETA 28.2m
  [ja] 5900/15430  1045s  ETA 28.1m
  [ja] 5925/15430  1049s  ETA 28.0m
  [ja] 5950/15430  1053s  ETA 28.0m
  [ja] 5975/15430  1058s  ETA 27.9m
  [ja] 6000/15430  1063s  ETA 27.8m
  [ja] 6025/15430  1067s  ETA 27.8m
  [ja] 6050/15430  1071s  ETA 27.7m
  [ja] 6075/15430  1076s  ETA 27.6m
  [ja] 6100/15430  1079s  ETA 27.5m
  [ja] 6125/15430  1084s  ETA 27.4m
  [ja] 6150/15430  1088s  ETA 27.4m
  [ja] 6175/15430  1094s  ETA 27.3m
  [ja] 6200/15430  1098s  ETA 27.2m
  [ja] 6225/15430  1102s  ETA 27.2m
  [ja] 6250/15430  1108s  ETA 27.1m
  [ja] 6275/15430  1112s  ETA 27.0m
  [ja] 6300/15430  1116s  ETA 27.0m
  [ja] 6325/15430  1121s  ETA 26.9m
  [ja] 6350/15430  1125s  ETA 26.8m
  [ja] 6375/15430  1130s  ETA 26.8m
  [ja] 6400/15430  1134s  ETA 26.7m
  [ja] 6425/15430  1139s  ETA 26.6m
  [ja] 6450/15430  1143s  ETA 26.5m
  [ja] 6475/15430  1148s  ETA 26.5m
  [ja] 6500/15430  1152s  ETA 26.4m
  [ja] 6525/15430  1157s  ETA 26.3m
  [ja] 6550/15430  1161s  ETA 26.2m
  [ja] 6575/15430  1166s  ETA 26.2m
  [ja] 6600/15430  1171s  ETA 26.1m
  [ja] 6625/15430  1178s  ETA 26.1m
  [ja] 6650/15430  1182s  ETA 26.0m
  [ja] 6675/15430  1187s  ETA 25.9m
  [ja] 6700/15430  1192s  ETA 25.9m
  [ja] 6725/15430  1197s  ETA 25.8m
  [ja] 6750/15430  1201s  ETA 25.7m
  [ja] 6775/15430  1206s  ETA 25.7m
  [ja] 6800/15430  1211s  ETA 25.6m
  [ja] 6825/15430  1216s  ETA 25.6m
  [ja] 6850/15430  1221s  ETA 25.5m
  [ja] 6875/15430  1225s  ETA 25.4m
  [ja] 6900/15430  1229s  ETA 25.3m
  [ja] 6925/15430  1234s  ETA 25.3m
  [ja] 6950/15430  1238s  ETA 25.2m
  [ja] 6975/15430  1243s  ETA 25.1m
  [ja] 7000/15430  1247s  ETA 25.0m
  [ja] 7025/15430  1252s  ETA 25.0m
  [ja] 7050/15430  1256s  ETA 24.9m
  [ja] 7075/15430  1261s  ETA 24.8m
  [ja] 7100/15430  1266s  ETA 24.8m
  [ja] 7125/15430  1271s  ETA 24.7m
  [ja] 7150/15430  1275s  ETA 24.6m
  [ja] 7175/15430  1280s  ETA 24.5m
  [ja] 7200/15430  1284s  ETA 24.5m
  [ja] 7225/15430  1288s  ETA 24.4m
  [ja] 7250/15430  1292s  ETA 24.3m
  [ja] 7275/15430  1297s  ETA 24.2m
  [ja] 7300/15430  1302s  ETA 24.2m
  [ja] 7325/15430  1306s  ETA 24.1m
  [ja] 7350/15430  1311s  ETA 24.0m
  [ja] 7375/15430  1315s  ETA 23.9m
  [ja] 7400/15430  1320s  ETA 23.9m
  [ja] 7425/15430  1325s  ETA 23.8m
  [ja] 7450/15430  1329s  ETA 23.7m
  [ja] 7475/15430  1334s  ETA 23.7m
  [ja] 7500/15430  1338s  ETA 23.6m
  [ja] 7525/15430  1343s  ETA 23.5m
  [ja] 7550/15430  1348s  ETA 23.4m
  [ja] 7575/15430  1352s  ETA 23.4m
  [ja] 7600/15430  1356s  ETA 23.3m
  [ja] 7625/15430  1360s  ETA 23.2m
  [ja] 7650/15430  1364s  ETA 23.1m
  [ja] 7675/15430  1369s  ETA 23.0m
  [ja] 7700/15430  1373s  ETA 23.0m
  [ja] 7725/15430  1376s  ETA 22.9m
  [ja] 7750/15430  1381s  ETA 22.8m
  [ja] 7775/15430  1386s  ETA 22.7m
  [ja] 7800/15430  1390s  ETA 22.7m
  [ja] 7825/15430  1394s  ETA 22.6m
  [ja] 7850/15430  1399s  ETA 22.5m
  [ja] 7875/15430  1404s  ETA 22.5m
  [ja] 7900/15430  1409s  ETA 22.4m
  [ja] 7925/15430  1414s  ETA 22.3m
  [ja] 7950/15430  1419s  ETA 22.2m
  [ja] 7975/15430  1423s  ETA 22.2m
  [ja] 8000/15430  1427s  ETA 22.1m
  [ja] 8025/15430  1432s  ETA 22.0m
  [ja] 8050/15430  1437s  ETA 21.9m
  [ja] 8075/15430  1441s  ETA 21.9m
  [ja] 8100/15430  1445s  ETA 21.8m
  [ja] 8125/15430  1450s  ETA 21.7m
  [ja] 8150/15430  1454s  ETA 21.7m
  [ja] 8175/15430  1460s  ETA 21.6m
  [ja] 8200/15430  1464s  ETA 21.5m
  [ja] 8225/15430  1469s  ETA 21.4m
  [ja] 8250/15430  1473s  ETA 21.4m
  [ja] 8275/15430  1478s  ETA 21.3m
  [ja] 8300/15430  1483s  ETA 21.2m
  [ja] 8325/15430  1487s  ETA 21.2m
  [ja] 8350/15430  1492s  ETA 21.1m
  [ja] 8375/15430  1496s  ETA 21.0m
  [ja] 8400/15430  1501s  ETA 20.9m
  [ja] 8425/15430  1505s  ETA 20.9m
  [ja] 8450/15430  1509s  ETA 20.8m
  [ja] 8475/15430  1514s  ETA 20.7m
  [ja] 8500/15430  1519s  ETA 20.6m
  [ja] 8525/15430  1524s  ETA 20.6m
  [ja] 8550/15430  1529s  ETA 20.5m
  [ja] 8575/15430  1534s  ETA 20.4m
  [ja] 8600/15430  1539s  ETA 20.4m
  [ja] 8625/15430  1545s  ETA 20.3m
  [ja] 8650/15430  1550s  ETA 20.2m
  [ja] 8675/15430  1554s  ETA 20.2m
  [ja] 8700/15430  1559s  ETA 20.1m
  [ja] 8725/15430  1564s  ETA 20.0m
  [ja] 8750/15430  1568s  ETA 20.0m
  [ja] 8775/15430  1572s  ETA 19.9m
  [ja] 8800/15430  1578s  ETA 19.8m
  [ja] 8825/15430  1583s  ETA 19.8m
  [ja] 8850/15430  1588s  ETA 19.7m
  [ja] 8875/15430  1593s  ETA 19.6m
  [ja] 8900/15430  1597s  ETA 19.5m
  [ja] 8925/15430  1602s  ETA 19.5m
  [ja] 8950/15430  1607s  ETA 19.4m
  [ja] 8975/15430  1612s  ETA 19.3m
  [ja] 9000/15430  1616s  ETA 19.2m
  [ja] 9025/15430  1620s  ETA 19.2m
  [ja] 9050/15430  1625s  ETA 19.1m
  [ja] 9075/15430  1629s  ETA 19.0m
  [ja] 9100/15430  1633s  ETA 18.9m
  [ja] 9125/15430  1637s  ETA 18.9m
  [ja] 9150/15430  1642s  ETA 18.8m
  [ja] 9175/15430  1647s  ETA 18.7m
  [ja] 9200/15430  1651s  ETA 18.6m
  [ja] 9225/15430  1655s  ETA 18.6m
  [ja] 9250/15430  1660s  ETA 18.5m
  [ja] 9275/15430  1665s  ETA 18.4m
  [ja] 9300/15430  1670s  ETA 18.3m
  [ja] 9325/15430  1675s  ETA 18.3m
  [ja] 9350/15430  1679s  ETA 18.2m
  [ja] 9375/15430  1682s  ETA 18.1m
  [ja] 9400/15430  1687s  ETA 18.0m
  [ja] 9425/15430  1692s  ETA 18.0m
  [ja] 9450/15430  1697s  ETA 17.9m
  [ja] 9475/15430  1701s  ETA 17.8m
  [ja] 9500/15430  1705s  ETA 17.7m
  [ja] 9525/15430  1709s  ETA 17.7m
  [ja] 9550/15430  1713s  ETA 17.6m
  [ja] 9575/15430  1717s  ETA 17.5m
  [ja] 9600/15430  1722s  ETA 17.4m
  [ja] 9625/15430  1726s  ETA 17.4m
  [ja] 9650/15430  1732s  ETA 17.3m
  [ja] 9675/15430  1736s  ETA 17.2m
  [ja] 9700/15430  1741s  ETA 17.1m
  [ja] 9725/15430  1746s  ETA 17.1m
  [ja] 9750/15430  1751s  ETA 17.0m
  [ja] 9775/15430  1757s  ETA 16.9m
  [ja] 9800/15430  1762s  ETA 16.9m
  [ja] 9825/15430  1766s  ETA 16.8m
  [ja] 9850/15430  1771s  ETA 16.7m
  [ja] 9875/15430  1774s  ETA 16.6m
  [ja] 9900/15430  1779s  ETA 16.6m
  [ja] 9925/15430  1784s  ETA 16.5m
  [ja] 9950/15430  1788s  ETA 16.4m
  [ja] 9975/15430  1793s  ETA 16.3m
  [ja] 10000/15430  1798s  ETA 16.3m
  [ja] 10025/15430  1802s  ETA 16.2m
  [ja] 10050/15430  1807s  ETA 16.1m
  [ja] 10075/15430  1812s  ETA 16.1m
  [ja] 10100/15430  1817s  ETA 16.0m
  [ja] 10125/15430  1825s  ETA 15.9m
  [ja] 10150/15430  1830s  ETA 15.9m
  [ja] 10175/15430  1835s  ETA 15.8m
  [ja] 10200/15430  1840s  ETA 15.7m
  [ja] 10225/15430  1844s  ETA 15.6m
  [ja] 10250/15430  1850s  ETA 15.6m
  [ja] 10275/15430  1855s  ETA 15.5m
  [ja] 10300/15430  1858s  ETA 15.4m
  [ja] 10325/15430  1863s  ETA 15.4m
  [ja] 10350/15430  1868s  ETA 15.3m
  [ja] 10375/15430  1872s  ETA 15.2m
  [ja] 10400/15430  1877s  ETA 15.1m
  [ja] 10425/15430  1881s  ETA 15.1m
  [ja] 10450/15430  1886s  ETA 15.0m
  [ja] 10475/15430  1890s  ETA 14.9m
  [ja] 10500/15430  1895s  ETA 14.8m
  [ja] 10525/15430  1899s  ETA 14.7m
  [ja] 10550/15430  1904s  ETA 14.7m
  [ja] 10575/15430  1908s  ETA 14.6m
  [ja] 10600/15430  1913s  ETA 14.5m
  [ja] 10625/15430  1918s  ETA 14.5m
  [ja] 10650/15430  1923s  ETA 14.4m
  [ja] 10675/15430  1927s  ETA 14.3m
  [ja] 10700/15430  1932s  ETA 14.2m
  [ja] 10725/15430  1936s  ETA 14.2m
  [ja] 10750/15430  1940s  ETA 14.1m
  [ja] 10775/15430  1944s  ETA 14.0m
  [ja] 10800/15430  1949s  ETA 13.9m
  [ja] 10825/15430  1953s  ETA 13.8m
  [ja] 10850/15430  1958s  ETA 13.8m
  [ja] 10875/15430  1963s  ETA 13.7m
  [ja] 10900/15430  1968s  ETA 13.6m
  [ja] 10925/15430  1972s  ETA 13.6m
  [ja] 10950/15430  1976s  ETA 13.5m
  [ja] 10975/15430  1981s  ETA 13.4m
  [ja] 11000/15430  1985s  ETA 13.3m
  [ja] 11025/15430  1989s  ETA 13.2m
  [ja] 11050/15430  1994s  ETA 13.2m
  [ja] 11075/15430  1999s  ETA 13.1m
  [ja] 11100/15430  2003s  ETA 13.0m
  [ja] 11125/15430  2007s  ETA 12.9m
  [ja] 11150/15430  2012s  ETA 12.9m
  [ja] 11175/15430  2016s  ETA 12.8m
  [ja] 11200/15430  2021s  ETA 12.7m
  [ja] 11225/15430  2026s  ETA 12.6m
  [ja] 11250/15430  2032s  ETA 12.6m
  [ja] 11275/15430  2036s  ETA 12.5m
  [ja] 11300/15430  2041s  ETA 12.4m
  [ja] 11325/15430  2046s  ETA 12.4m
  [ja] 11350/15430  2050s  ETA 12.3m
  [ja] 11375/15430  2055s  ETA 12.2m
  [ja] 11400/15430  2059s  ETA 12.1m
  [ja] 11425/15430  2065s  ETA 12.1m
  [ja] 11450/15430  2069s  ETA 12.0m
  [ja] 11475/15430  2073s  ETA 11.9m
  [ja] 11500/15430  2078s  ETA 11.8m
  [ja] 11525/15430  2083s  ETA 11.8m
  [ja] 11550/15430  2087s  ETA 11.7m
  [ja] 11575/15430  2092s  ETA 11.6m
  [ja] 11600/15430  2097s  ETA 11.5m
  [ja] 11625/15430  2102s  ETA 11.5m
  [ja] 11650/15430  2107s  ETA 11.4m
  [ja] 11675/15430  2112s  ETA 11.3m
  [ja] 11700/15430  2116s  ETA 11.2m
  [ja] 11725/15430  2120s  ETA 11.2m
  [ja] 11750/15430  2124s  ETA 11.1m
  [ja] 11775/15430  2130s  ETA 11.0m
  [ja] 11800/15430  2135s  ETA 10.9m
  [ja] 11825/15430  2138s  ETA 10.9m
  [ja] 11850/15430  2143s  ETA 10.8m
  [ja] 11875/15430  2148s  ETA 10.7m
  [ja] 11900/15430  2152s  ETA 10.6m
  [ja] 11925/15430  2157s  ETA 10.6m
  [ja] 11950/15430  2161s  ETA 10.5m
  [ja] 11975/15430  2166s  ETA 10.4m
  [ja] 12000/15430  2171s  ETA 10.3m
  [ja] 12025/15430  2175s  ETA 10.3m
  [ja] 12050/15430  2180s  ETA 10.2m
  [ja] 12075/15430  2185s  ETA 10.1m
  [ja] 12100/15430  2189s  ETA 10.0m
  [ja] 12125/15430  2193s  ETA 10.0m
  [ja] 12150/15430  2198s  ETA 9.9m
  [ja] 12175/15430  2202s  ETA 9.8m
  [ja] 12200/15430  2207s  ETA 9.7m
  [ja] 12225/15430  2211s  ETA 9.7m
  [ja] 12250/15430  2216s  ETA 9.6m
  [ja] 12275/15430  2220s  ETA 9.5m
  [ja] 12300/15430  2225s  ETA 9.4m
  [ja] 12325/15430  2230s  ETA 9.4m
  [ja] 12350/15430  2234s  ETA 9.3m
  [ja] 12375/15430  2239s  ETA 9.2m
  [ja] 12400/15430  2244s  ETA 9.1m
  [ja] 12425/15430  2248s  ETA 9.1m
  [ja] 12450/15430  2253s  ETA 9.0m
  [ja] 12475/15430  2259s  ETA 8.9m
  [ja] 12500/15430  2263s  ETA 8.8m
  [ja] 12525/15430  2268s  ETA 8.8m
  [ja] 12550/15430  2273s  ETA 8.7m
  [ja] 12575/15430  2278s  ETA 8.6m
  [ja] 12600/15430  2282s  ETA 8.5m
  [ja] 12625/15430  2289s  ETA 8.5m
  [ja] 12650/15430  2293s  ETA 8.4m
  [ja] 12675/15430  2299s  ETA 8.3m
  [ja] 12700/15430  2303s  ETA 8.3m
  [ja] 12725/15430  2308s  ETA 8.2m
  [ja] 12750/15430  2313s  ETA 8.1m
  [ja] 12775/15430  2317s  ETA 8.0m
  [ja] 12800/15430  2323s  ETA 8.0m
  [ja] 12825/15430  2328s  ETA 7.9m
  [ja] 12850/15430  2333s  ETA 7.8m
  [ja] 12875/15430  2338s  ETA 7.7m
  [ja] 12900/15430  2343s  ETA 7.7m
  [ja] 12925/15430  2347s  ETA 7.6m
  [ja] 12950/15430  2352s  ETA 7.5m
  [ja] 12975/15430  2357s  ETA 7.4m
  [ja] 13000/15430  2362s  ETA 7.4m
  [ja] 13025/15430  2367s  ETA 7.3m
  [ja] 13050/15430  2371s  ETA 7.2m
  [ja] 13075/15430  2375s  ETA 7.1m
  [ja] 13100/15430  2381s  ETA 7.1m
  [ja] 13125/15430  2386s  ETA 7.0m
  [ja] 13150/15430  2390s  ETA 6.9m
  [ja] 13175/15430  2395s  ETA 6.8m
  [ja] 13200/15430  2398s  ETA 6.8m
  [ja] 13225/15430  2404s  ETA 6.7m
  [ja] 13250/15430  2409s  ETA 6.6m
  [ja] 13275/15430  2413s  ETA 6.5m
  [ja] 13300/15430  2418s  ETA 6.5m
  [ja] 13325/15430  2423s  ETA 6.4m
  [ja] 13350/15430  2427s  ETA 6.3m
  [ja] 13375/15430  2431s  ETA 6.2m
  [ja] 13400/15430  2436s  ETA 6.2m
  [ja] 13425/15430  2441s  ETA 6.1m
  [ja] 13450/15430  2446s  ETA 6.0m
  [ja] 13475/15430  2451s  ETA 5.9m
  [ja] 13500/15430  2455s  ETA 5.9m
  [ja] 13525/15430  2460s  ETA 5.8m
  [ja] 13550/15430  2465s  ETA 5.7m
  [ja] 13575/15430  2469s  ETA 5.6m
  [ja] 13600/15430  2473s  ETA 5.5m
  [ja] 13625/15430  2477s  ETA 5.5m
  [ja] 13650/15430  2482s  ETA 5.4m
  [ja] 13675/15430  2487s  ETA 5.3m
  [ja] 13700/15430  2492s  ETA 5.2m
  [ja] 13725/15430  2496s  ETA 5.2m
  [ja] 13750/15430  2503s  ETA 5.1m
  [ja] 13775/15430  2507s  ETA 5.0m
  [ja] 13800/15430  2512s  ETA 4.9m
  [ja] 13825/15430  2517s  ETA 4.9m
  [ja] 13850/15430  2523s  ETA 4.8m
  [ja] 13875/15430  2528s  ETA 4.7m
  [ja] 13900/15430  2533s  ETA 4.6m
  [ja] 13925/15430  2538s  ETA 4.6m
  [ja] 13950/15430  2543s  ETA 4.5m
  [ja] 13975/15430  2548s  ETA 4.4m
  [ja] 14000/15430  2553s  ETA 4.3m
  [ja] 14025/15430  2558s  ETA 4.3m
  [ja] 14050/15430  2563s  ETA 4.2m
  [ja] 14075/15430  2567s  ETA 4.1m
  [ja] 14100/15430  2571s  ETA 4.0m
  [ja] 14125/15430  2576s  ETA 4.0m
  [ja] 14150/15430  2581s  ETA 3.9m
  [ja] 14175/15430  2586s  ETA 3.8m
  [ja] 14200/15430  2591s  ETA 3.7m
  [ja] 14225/15430  2596s  ETA 3.7m
  [ja] 14250/15430  2600s  ETA 3.6m
  [ja] 14275/15430  2605s  ETA 3.5m
  [ja] 14300/15430  2610s  ETA 3.4m
  [ja] 14325/15430  2614s  ETA 3.4m
  [ja] 14350/15430  2619s  ETA 3.3m
  [ja] 14375/15430  2624s  ETA 3.2m
  [ja] 14400/15430  2628s  ETA 3.1m
  [ja] 14425/15430  2633s  ETA 3.1m
  [ja] 14450/15430  2638s  ETA 3.0m
  [ja] 14475/15430  2642s  ETA 2.9m
  [ja] 14500/15430  2646s  ETA 2.8m
  [ja] 14525/15430  2651s  ETA 2.8m
  [ja] 14550/15430  2655s  ETA 2.7m
  [ja] 14575/15430  2659s  ETA 2.6m
  [ja] 14600/15430  2663s  ETA 2.5m
  [ja] 14625/15430  2669s  ETA 2.4m
  [ja] 14650/15430  2673s  ETA 2.4m
  [ja] 14675/15430  2678s  ETA 2.3m
  [ja] 14700/15430  2683s  ETA 2.2m
  [ja] 14725/15430  2688s  ETA 2.1m
  [ja] 14750/15430  2694s  ETA 2.1m
  [ja] 14775/15430  2698s  ETA 2.0m
  [ja] 14800/15430  2703s  ETA 1.9m
  [ja] 14825/15430  2707s  ETA 1.8m
  [ja] 14850/15430  2712s  ETA 1.8m
  [ja] 14875/15430  2716s  ETA 1.7m
  [ja] 14900/15430  2721s  ETA 1.6m
  [ja] 14925/15430  2726s  ETA 1.5m
  [ja] 14950/15430  2731s  ETA 1.5m
  [ja] 14975/15430  2736s  ETA 1.4m
  [ja] 15000/15430  2741s  ETA 1.3m
  [ja] 15025/15430  2746s  ETA 1.2m
  [ja] 15050/15430  2750s  ETA 1.2m
  [ja] 15075/15430  2755s  ETA 1.1m
